,MAE,R2
Linear Regression,0.1276,0.9699
Linear Regression Isolation Forest,0.1388,0.969
Linear Regression PCA,0.3746,0.9954
Linear Regression Isolation Forest and PCA,0.3669,0.9959
XGBoost Regression,0.093,0.9853
XGBoost Regression Isolation Forest,0.11,0.9765
XGBoost Regression PCA,4.0902,-0.1795
XGBoost Regression Isolation Forest PCA,2.6012,0.548
Ridge Regression,0.124,0.9728
Ridge Regression Isolation Forest,0.1296,0.9712
Ridge Regression PCA,0.4365,0.9944
Ridge Regression Isolation Forest PCA,0.4685,0.9923
